motor,,
----------------,,
Line No,Motor A,Motor B
319,-0.815979,0.815979
320,-0.828026,0.828026
321,-0.839979,0.839979
322,-0.852026,0.852026
323,-0.86398,0.86398
324,-0.87598,0.87598
325,-0.888026,0.888026
326,-0.899981,0.899981
327,-0.912026,0.912026
328,-0.92398,0.92398
329,-0.936025,0.936025
330,-0.94798,0.94798
331,-0.95998,0.95998
332,-0.972024,0.972024
333,-0.983981,0.983981
334,-0.996024,0.996024
335,-1,1
336,-1,1
337,-1,1
338,-1,1
339,-1,1
340,-1,1
341,-1,1
342,-1,1
343,-1,1
344,-1,1
345,-1,1
346,-1,1
347,-1,1
348,-1,1
349,-1,1
350,-1,1
351,-1,1
352,-1,1
353,-1,1
354,-1,1
355,-1,1
356,-1,1
357,-1,1
358,-1,1
359,-1,1
360,-1,1
361,-1,1
362,-1,1
363,-1,1
364,-1,1
365,-1,1
366,-1,1
367,-1,1
368,-1,1
369,-1,1
370,-1,1
371,-1,1
372,-1,1
373,-1,1
374,-1,1
375,-1,1
376,-1,1
377,-1,1
378,-1,1
379,-1,1
380,-1,1
381,-1,1
382,-1,1
383,-1,1
384,-1,1
385,-1,1
386,-1,1
387,-1,1
388,-1,1
389,-1,1
390,-1,1
391,-1,1
392,-1,1
393,-1,1
394,-1,1
395,-1,1
396,-1,1
397,-1,1
398,-1,1
399,-1,1
400,-1,1
401,-1,1
402,-1,1
403,-1,1
404,-1,1
405,-1,1
406,-1,1
407,-1,1
408,-1,1
409,-1,1
410,-1,1
411,-1,1
412,-1,1
413,-1,1
414,-1,1
415,-1,1
416,-1,1
417,-1,1
418,-1,1
419,-1,1
420,-1,1
421,-1,1
422,-1,1
423,-1,1
424,-1,1
425,-1,1
426,-1,1
427,-1,1
428,-1,1
429,-1,1
430,-1,1
431,-1,1
432,-1,1
433,-1,1
434,-1,1
435,-1,1
436,-1,1
437,-1,1
438,-1,1
439,-1,1
440,-1,1
441,-1,1
442,-1,1
443,-1,1
444,-1,1
445,-1,1
446,-1,1
447,-1,1
448,-1,1
449,-1,1
450,-1,1
451,-1,1
452,-1,1
453,-1,1
454,-1,1
455,-1,1
456,-1,1
457,-1,1
458,-1,1
459,-1,1
460,-1,1
461,-1,1
462,-1,1
463,-1,1
464,-1,1
465,-1,1
466,-1,1
467,-1,1
468,-1,1
469,-1,1
470,-1,1
471,-1,1
472,-1,1
473,-1,1
474,-1,1
475,-1,1
476,-1,1
477,-1,1
478,-1,1
479,-1,1
480,-1,1
481,-1,1
482,-1,1
483,-1,1
484,-1,1
485,-1,1
486,-1,1
487,-1,1
488,-1,1
489,-1,1
490,-1,1
491,-1,1
492,-1,1
493,-1,1
494,-1,1
495,-1,1
496,-1,1
497,-1,1
498,-1,1
499,-1,1
500,-1,1
501,nan,nan
502,-1,1
503,-1,1
504,-1,1
505,-1,1
506,-1,1
507,-1,1
508,-1,1
509,-1,1
510,-1,1
511,-1,1
512,-1,1
513,-1,1
514,-1,1
515,-1,1
516,-1,1
517,-1,1
518,-1,1
519,-1,1
520,-1,1
521,-1,1
522,-1,1
523,-1,1
524,-1,1
525,-1,1
526,-1,1
527,-1,1
528,-1,1
529,-1,1
530,-1,1
531,-1,1
532,-1,1
533,-1,1
534,-1,1
535,-1,1
536,-1,1
537,-1,1
538,-1,1
539,-1,1
540,-1,1
541,-1,1
542,-1,1
543,-1,1
544,-1,1
545,-1,1
546,-1,1
547,-1,1
548,-1,1
549,-1,1
550,-1,1
551,-1,1
552,-1,1
553,-1,1
554,-1,1
555,-1,1
556,-1,1
557,-1,1
558,-1,1
559,-1,1
560,-1,1
561,-1,1
562,-1,1
563,-1,1
564,-1,1
565,-1,1
566,-1,1
567,-1,1
568,-1,1
569,-1,1
570,-1,1
571,-1,1
572,-1,1
573,-1,1
574,-1,1
575,-1,1
576,-1,1
577,-1,1
578,-1,1
579,-1,1
580,-1,1
581,-1,1
582,-1,1
583,-1,1
584,-1,1
585,-1,1
586,-1,1
587,-1,1
588,-1,1
589,-1,1
590,-1,1
591,-1,1
592,-1,1
593,-1,1
594,-1,1
595,-1,1
596,-1,1
597,-1,1
598,-1,1
599,-1,1
600,-1,1
601,-1,1
602,-1,1
603,-1,1
604,-1,1
605,-1,1
606,-1,1
607,-1,1
608,-1,1
609,-1,1
610,-1,1
611,-1,1
612,-1,1
613,-1,1
614,-1,1
615,-1,1
616,-1,1
617,-1,1
618,-1,1
619,-1,1
620,-1,1
621,-1,1
622,-1,1
623,-1,1
624,-1,1
625,-1,1
626,-1,1
627,-1,1
628,-1,1
629,-1,1
630,-1,1
631,-1,1
632,-1,1
633,-1,1
634,-1,1
635,-1,1
636,-1,1
637,-1,1
638,-1,1
639,-1,1
640,-1,1
641,-1,1
642,-1,1
643,-1,1
644,-1,1
645,-1,1
646,-1,1
647,-1,1
648,-1,1
649,-1,1
650,-1,1
651,-1,1
652,-1,1
653,-1,1
654,-1,1
655,-1,1
656,-1,1
657,-1,1
658,-1,1
659,-1,1
660,-1,1
661,-1,1
662,-1,1
663,-1,1
664,-1,1
665,-1,1
666,-1,1
667,-1,1
668,-0.995981,0.995981
669,-0.984004,0.984004
670,-0.972003,0.972003
671,-0.960003,0.960003
672,-0.948003,0.948003
673,-0.936003,0.936003
674,-0.924003,0.924003
675,-0.911992,0.911992
676,-0.900003,0.900003
677,-0.887992,0.887992
678,-0.876003,0.876003
679,-0.864004,0.864004
680,-0.851992,0.851992
681,-0.840004,0.840004
682,-0.828004,0.828004
683,-0.816003,0.816003
684,-0.803992,0.803992
685,-0.792004,0.792004
686,-0.780003,0.780003
687,-0.767991,0.767991
688,-0.756004,0.756004
689,-0.744004,0.744004
690,-0.732004,0.732004
691,-0.719992,0.719992
692,-0.708004,0.708004
693,-0.696004,0.696004
694,-0.683991,0.683991
695,-0.672004,0.672004
696,-0.660003,0.660003
697,-0.648004,0.648004
698,-0.635991,0.635991
699,-0.624004,0.624004
700,-0.612004,0.612004
701,-0.599991,0.599991
702,-0.588004,0.588004
703,-0.576004,0.576004
704,-0.564004,0.564004
705,-0.551991,0.551991
706,-0.540003,0.540003
707,-0.528004,0.528004
708,-0.515997,0.515997
709,-0.503998,0.503998
710,-0.492004,0.492004
711,-0.479997,0.479997
712,-0.468004,0.468004
713,-0.455997,0.455997
714,-0.443997,0.443997
715,-0.432005,0.432005
716,-0.419997,0.419997
717,-0.408004,0.408004
718,-0.395997,0.395997
719,-0.384004,0.384004
720,-0.371997,0.371997
721,-0.359997,0.359997
722,-0.348004,0.348004
723,-0.335997,0.335997
724,-0.324004,0.324004
725,-0.311997,0.311997
726,-0.300001,0.300001
727,-0.288,0.288
728,-0.276001,0.276001
729,-0.264,0.264
730,-0.252,0.252
731,-0.239996,0.239996
732,-0.228,0.228
733,-0.216,0.216
734,-0.204,0.204
735,-0.192001,0.192001
736,-0.179999,0.179999
737,-0.168,0.168
738,-0.156,0.156
739,-0.144,0.144
740,-0.132,0.132
741,-0.12,0.12
742,-0.108,0.108
743,-0.0959995,0.0959995
744,-0.0839999,0.0839999
745,-0.0720003,0.0720003
746,-0.0600007,0.0600007
747,-0.0479989,0.0479989
748,-0.036,0.036
749,-0.0240006,0.0240006
750,-0.0120003,0.0120003
751,-2.38419e-07,2.38419e-07
752,0.0120039,-0.0120039
753,0.0239992,-0.0239992
754,0.0359991,-0.0359991
755,0.0479989,-0.0479989
756,0.059999,-0.059999
757,0.0719993,-0.0719993
758,0.0840039,-0.0840039
759,0.0959954,-0.0959954
760,0.108004,-0.108004
761,0.119996,-0.119996
762,0.132003,-0.132003
763,0.144003,-0.144003
764,0.155995,-0.155995
765,0.168003,-0.168003
766,0.179995,-0.179995
767,0.192003,-0.192003
768,0.203995,-0.203995
769,0.216004,-0.216004
770,0.228004,-0.228004
771,0.239995,-0.239995
772,0.252003,-0.252003
773,0.263995,-0.263995
774,0.276003,-0.276003
775,0.288004,-0.288004
776,0.299995,-0.299995
777,0.311994,-0.311994
778,0.324013,-0.324013
779,0.335995,-0.335995
780,0.347994,-0.347994
781,0.359994,-0.359994
782,0.372013,-0.372013
783,0.383995,-0.383995
784,0.395995,-0.395995
785,0.408013,-0.408013
786,0.419995,-0.419995
787,0.431995,-0.431995
788,0.443995,-0.443995
789,0.456012,-0.456012
790,0.467994,-0.467994
791,0.479994,-0.479994
792,0.492013,-0.492013
793,0.503994,-0.503994
794,0.515994,-0.515994
795,0.527995,-0.527995
796,0.540014,-0.540014
797,0.551995,-0.551995
798,0.563995,-0.563995
799,0.576014,-0.576014
800,0.587994,-0.587994
801,0.599994,-0.599994
802,0.611994,-0.611994
803,0.624014,-0.624014
804,0.635994,-0.635994
805,0.647994,-0.647994
806,0.660014,-0.660014
807,0.671994,-0.671994
808,0.684015,-0.684015
809,0.695994,-0.695994
810,0.707994,-0.707994
811,0.719994,-0.719994
812,0.731994,-0.731994
813,0.743994,-0.743994
814,0.755994,-0.755994
815,0.768035,-0.768035
816,0.779994,-0.779994
817,0.791993,-0.791993
818,0.803994,-0.803994
819,0.815994,-0.815994
820,0.827993,-0.827993
821,0.839994,-0.839994
822,0.852035,-0.852035
823,0.863994,-0.863994
824,0.875994,-0.875994
825,0.887994,-0.887994
826,0.899995,-0.899995
827,0.911994,-0.911994
828,0.923993,-0.923993
829,0.936036,-0.936036
830,0.947993,-0.947993
831,0.959994,-0.959994
832,0.971994,-0.971994
833,0.983994,-0.983994
834,0.995994,-0.995994
835,1,-1
836,1,-1
837,1,-1
838,1,-1
839,1,-1
840,1,-1
841,1,-1
842,1,-1
843,1,-1
844,1,-1
845,1,-1
846,1,-1
847,1,-1
848,1,-1
849,1,-1
850,1,-1
851,1,-1
852,1,-1
853,1,-1
854,1,-1
855,1,-1
856,1,-1
857,1,-1
858,1,-1
859,1,-1
860,1,-1
861,1,-1
862,1,-1
863,1,-1
864,1,-1
865,1,-1
866,1,-1
867,1,-1
868,1,-1
869,1,-1
870,1,-1
871,1,-1
872,1,-1
873,1,-1
874,1,-1
875,1,-1
876,1,-1
877,1,-1
878,1,-1
879,1,-1
880,1,-1
881,1,-1
882,1,-1
883,1,-1
884,1,-1
885,1,-1
886,1,-1
887,1,-1
888,1,-1
889,1,-1
890,1,-1
891,1,-1
892,1,-1
893,1,-1
894,1,-1
895,1,-1
896,1,-1
897,1,-1
898,1,-1
899,1,-1
900,1,-1
901,1,-1
902,1,-1
903,1,-1
904,1,-1
905,1,-1
906,1,-1
907,1,-1
908,1,-1
909,1,-1
910,1,-1
911,1,-1
912,1,-1
913,1,-1
914,1,-1
915,1,-1
916,1,-1
917,1,-1
918,1,-1
919,1,-1
920,1,-1
921,1,-1
922,1,-1
923,1,-1
924,1,-1
925,1,-1
926,1,-1
927,1,-1
928,1,-1
929,1,-1
930,1,-1
931,1,-1
932,1,-1
933,1,-1
934,1,-1
935,1,-1
936,1,-1
937,1,-1
938,1,-1
939,1,-1
940,1,-1
941,1,-1
942,1,-1
943,1,-1
944,1,-1
945,1,-1
946,1,-1
947,1,-1
948,1,-1
949,1,-1
950,1,-1
951,1,-1
952,1,-1
953,1,-1
954,1,-1
955,1,-1
956,1,-1
957,1,-1
958,1,-1
959,1,-1
960,1,-1
961,1,-1
962,1,-1
963,1,-1
964,1,-1
965,1,-1
966,1,-1
967,1,-1
968,1,-1
969,1,-1
970,1,-1
971,1,-1
972,1,-1
973,1,-1
974,1,-1
975,1,-1
976,1,-1
977,1,-1
978,1,-1
979,1,-1
980,1,-1
981,1,-1
982,1,-1
983,1,-1
984,1,-1
985,1,-1
986,1,-1
987,1,-1
988,1,-1
989,1,-1
990,1,-1
991,1,-1
992,1,-1
993,1,-1
994,1,-1
995,1,-1
996,1,-1
997,1,-1
998,1,-1
999,1,-1
1000,1,-1
1001,1,-1
1002,1,-1
1003,1,-1
1004,1,-1
1005,1,-1
1006,1,-1
1007,1,-1
1008,1,-1
1009,1,-1
1010,1,-1
1011,1,-1
1012,1,-1
1013,1,-1
1014,1,-1
1015,1,-1
1016,1,-1
1017,1,-1
1018,1,-1
1019,1,-1
1020,1,-1
1021,1,-1
1022,1,-1
1023,1,-1
1024,1,-1
1025,1,-1
1026,1,-1
1027,1,-1
1028,1,-1
1029,1,-1
1030,1,-1
1031,1,-1
1032,1,-1
1033,1,-1
1034,1,-1
1035,1,-1
1036,1,-1
1037,1,-1
1038,1,-1
1039,1,-1
1040,1,-1
1041,1,-1
1042,1,-1
1043,1,-1
1044,1,-1
1045,1,-1
1046,1,-1
1047,1,-1
1048,1,-1
1049,1,-1
1050,1,-1
1051,1,-1
1052,1,-1
1053,1,-1
1054,1,-1
1055,1,-1
1056,1,-1
1057,1,-1
1058,1,-1
1059,1,-1
1060,1,-1
1061,1,-1
1062,1,-1
1063,1,-1
1064,1,-1
1065,1,-1
1066,1,-1
1067,1,-1
1068,1,-1
1069,1,-1
1070,1,-1
1071,1,-1
1072,1,-1
1073,1,-1
1074,1,-1
1075,1,-1
1076,1,-1
1077,1,-1
1078,1,-1
1079,1,-1
1080,1,-1
1081,1,-1
1082,1,-1
1083,1,-1
1084,1,-1
1085,1,-1
1086,1,-1
1087,1,-1
1088,1,-1
1089,1,-1
1090,1,-1
1091,1,-1
1092,1,-1
1093,1,-1
1094,1,-1
1095,1,-1
1096,1,-1
1097,1,-1
1098,1,-1
1099,1,-1
1100,1,-1
1101,1,-1
1102,1,-1
1103,1,-1
1104,1,-1
1105,1,-1
1106,1,-1
1107,1,-1
1108,1,-1
1109,1,-1
1110,1,-1
1111,1,-1
1112,1,-1
1113,1,-1
1114,1,-1
1115,1,-1
1116,1,-1
1117,1,-1
1118,1,-1
1119,1,-1
1120,1,-1
1121,1,-1
1122,1,-1
1123,1,-1
1124,1,-1
1125,1,-1
1126,1,-1
1127,1,-1
1128,1,-1
1129,1,-1
1130,1,-1
1131,1,-1
1132,1,-1
1133,1,-1
1134,1,-1
1135,1,-1
1136,1,-1
1137,1,-1
1138,1,-1
1139,1,-1
1140,1,-1
1141,1,-1
1142,1,-1
1143,1,-1
1144,1,-1
1145,1,-1
1146,1,-1
1147,1,-1
1148,1,-1
1149,1,-1
1150,1,-1
1151,1,-1
1152,1,-1
1153,1,-1
1154,1,-1
1155,1,-1
1156,1,-1
1157,1,-1
1158,1,-1
1159,1,-1
1160,1,-1
1161,1,-1
1162,1,-1
1163,1,-1
1164,1,-1
1165,1,-1
1166,1,-1
1167,1,-1
1168,0.995951,-0.995951
1169,0.984036,-0.984036
1170,0.972037,-0.972037
1171,0.959952,-0.959952
1172,0.948036,-0.948036
1173,0.935953,-0.935953
1174,0.924037,-0.924037
1175,0.911953,-0.911953
1176,0.900036,-0.900036
1177,0.888036,-0.888036
1178,0.875953,-0.875953
1179,0.864036,-0.864036
1180,0.851954,-0.851954
1181,0.840035,-0.840035
1182,0.827954,-0.827954
1183,0.816036,-0.816036
1184,0.804035,-0.804035
1185,0.791955,-0.791955
1186,0.780035,-0.780035
1187,0.767954,-0.767954
1188,0.756035,-0.756035
1189,0.743955,-0.743955
1190,0.732035,-0.732035
1191,0.720035,-0.720035
1192,0.707956,-0.707956
1193,0.696034,-0.696034
1194,0.683956,-0.683956
1195,0.672034,-0.672034
1196,0.659956,-0.659956
1197,0.648033,-0.648033
1198,0.636034,-0.636034
1199,0.623956,-0.623956
1200,0.612033,-0.612033
1201,0.599957,-0.599957
1202,0.588034,-0.588034
1203,0.575957,-0.575957
1204,0.564033,-0.564033
1205,0.552033,-0.552033
1206,0.539957,-0.539957
1207,0.528033,-0.528033
1208,0.515958,-0.515958
1209,0.504032,-0.504032
1210,0.491958,-0.491958
1211,0.480032,-0.480032
1212,0.468032,-0.468032
1213,0.455958,-0.455958
1214,0.444032,-0.444032
1215,0.431958,-0.431958
1216,0.420031,-0.420031
1217,0.407959,-0.407959
1218,0.396032,-0.396032
1219,0.384031,-0.384031
1220,0.37196,-0.37196
1221,0.360031,-0.360031
1222,0.34796,-0.34796
1223,0.33603,-0.33603
1224,0.32396,-0.32396
1225,0.312031,-0.312031
1226,0.300031,-0.300031
1227,0.28796,-0.28796
1228,0.27603,-0.27603
1229,0.263961,-0.263961
1230,0.252031,-0.252031
1231,0.239961,-0.239961
1232,0.228029,-0.228029
1233,0.21603,-0.21603
1234,0.203961,-0.203961
1235,0.19203,-0.19203
1236,0.179962,-0.179962
1237,0.168029,-0.168029
1238,0.155962,-0.155962
1239,0.144029,-0.144029
1240,0.132029,-0.132029
1241,0.119962,-0.119962
1242,0.108029,-0.108029
1243,0.0959625,-0.0959625
1244,0.084028,-0.084028
1245,0.0719631,-0.0719631
1246,0.0600281,-0.0600281
1247,0.0480287,-0.0480287
1248,0.0359638,-0.0359638
1249,0.0240281,-0.0240281
1250,0.0119634,-0.0119634
1251,2.76566e-05,-2.76566e-05
1252,-0.0120363,0.0120363
1253,-0.023973,0.023973
1254,-0.0359724,0.0359724
1255,-0.0480359,0.0480359
1256,-0.059972,0.059972
1257,-0.0720351,0.0720351
1258,-0.0839727,0.0839727
1259,-0.0960348,0.0960348
1260,-0.107973,0.107973
1261,-0.119973,0.119973
1262,-0.132035,0.132035
1263,-0.143973,0.143973
1264,-0.156004,0.156004
1265,-0.168003,0.168003
1266,-0.180003,0.180003
1267,-0.192004,0.192004
1268,-0.204004,0.204004
1269,-0.216004,0.216004
1270,-0.228004,0.228004
1271,-0.239975,0.239975
1272,-0.252004,0.252004
1273,-0.264004,0.264004
1274,-0.276004,0.276004
1275,-0.288004,0.288004
1276,-0.300004,0.300004
1277,-0.312004,0.312004
1278,-0.323975,0.323975
1279,-0.336004,0.336004
1280,-0.348004,0.348004
1281,-0.360003,0.360003
1282,-0.372004,0.372004
1283,-0.384004,0.384004
1284,-0.396003,0.396003
1285,-0.407976,0.407976
1286,-0.420004,0.420004
1287,-0.432004,0.432004
1288,-0.444004,0.444004
1289,-0.456004,0.456004
1290,-0.468004,0.468004
1291,-0.480003,0.480003
1292,-0.491976,0.491976
1293,-0.504004,0.504004
1294,-0.516003,0.516003
1295,-0.528003,0.528003
1296,-0.540004,0.540004
1297,-0.552004,0.552004
1298,-0.564004,0.564004
1299,-0.575978,0.575978
1300,-0.588003,0.588003
1301,-0.600004,0.600004
1302,-0.612003,0.612003
1303,-0.624003,0.624003
1304,-0.636003,0.636003
1305,-0.648003,0.648003
1306,-0.659978,0.659978
1307,-0.672004,0.672004
1308,-0.684003,0.684003
1309,-0.696003,0.696003
1310,-0.708003,0.708003
1311,-0.720004,0.720004
1312,-0.732004,0.732004
1313,-0.743979,0.743979
1314,-0.756003,0.756003
1315,-0.768003,0.768003
1316,-0.780003,0.780003
1317,-0.792004,0.792004
1318,-0.804003,0.804003
1319,-0.816003,0.816003
1320,-0.82798,0.82798
1321,-0.840002,0.840002
1322,-0.852003,0.852003
1323,-0.864003,0.864003
1324,-0.876003,0.876003
1325,-0.888003,0.888003
1326,-0.900003,0.900003
1327,-0.911981,0.911981
1328,-0.924003,0.924003
1329,-0.936003,0.936003
1330,-0.948002,0.948002
1331,-0.960002,0.960002
1332,-0.972003,0.972003
1333,-0.984003,0.984003
1334,-0.995981,0.995981
1335,-1,1
1336,-1,1
1337,-1,1
1338,-1,1
1339,-1,1
1340,-1,1
1341,-1,1
1342,-1,1
1343,-1,1
1344,-1,1
1345,-1,1
1346,-1,1
1347,-1,1
1348,-1,1
1349,-1,1
1350,-1,1
1351,-1,1
1352,-1,1
1353,-1,1
1354,-1,1
1355,-1,1
1356,-1,1
1357,-1,1
1358,-1,1
1359,-1,1
1360,-1,1
1361,-1,1
1362,-1,1
1363,-1,1
1364,-1,1
1365,-1,1
1366,-1,1
1367,-1,1
1368,-1,1
1369,-1,1
1370,-1,1
1371,-1,1
1372,-1,1
1373,-1,1
1374,-1,1
1375,-1,1
1376,-1,1
1377,-1,1
1378,-1,1
1379,-1,1
1380,-1,1
1381,-1,1
1382,-1,1
1383,-1,1
1384,-1,1
1385,-1,1
1386,-1,1
1387,-1,1
1388,-1,1
1389,-1,1
1390,-1,1
1391,-1,1
1392,-1,1
1393,-1,1
1394,-1,1
1395,-1,1
1396,-1,1
1397,-1,1
1398,-1,1
1399,-1,1
1400,-1,1
1401,-1,1
1402,-1,1
1403,-1,1
1404,-1,1
1405,-1,1
1406,-1,1
1407,-1,1
1408,-1,1
1409,-1,1
1410,-1,1
1411,-1,1
1412,-1,1
1413,-1,1
1414,-1,1
1415,-1,1
1416,-1,1
1417,-1,1
1418,-1,1
1419,-1,1
1420,-1,1
1421,-1,1
1422,-1,1
1423,-1,1
1424,-1,1
1425,-1,1
1426,-1,1
1427,-1,1
1428,-1,1
1429,-1,1
1430,-1,1
1431,-1,1
1432,-1,1
1433,-1,1
1434,-1,1
1435,-1,1
1436,-1,1
1437,-1,1
1438,-1,1
1439,-1,1
1440,-1,1
1441,-1,1
1442,-1,1
1443,-1,1
1444,-1,1
1445,-1,1
1446,-1,1
1447,-1,1
1448,-1,1
1449,-1,1
1450,-1,1
1451,-1,1
1452,-1,1
1453,-1,1
1454,-1,1
1455,-1,1
1456,-1,1
1457,-1,1
1458,-1,1
1459,-1,1
1460,-1,1
1461,-1,1
1462,-1,1
1463,-1,1
1464,-1,1
1465,-1,1
1466,-1,1
1467,-1,1
1468,-1,1
1469,-1,1
1470,-1,1
1471,-1,1
1472,-1,1
1473,-1,1
1474,-1,1
1475,-1,1
1476,-1,1
1477,-1,1
1478,-1,1
1479,-1,1
1480,-1,1
1481,-1,1
1482,-1,1
1483,-1,1
